Month,Year,Categories,Amount,Page number,Type of Category
July,1854,Cholera Cases attended to,19,31,Public Service
July,1854,Stores found open and secured ,9,31,Public Service
July,1854,"Drains,vaults,nuisances reported",29,31,Public Service
July,1854,Sun shake cases attended to,6,31,Public Service
July,1854,Stray Teams Put up,4,31,Public Service
July,1854,Insane persons provided for,3,31,Public Service
July,1854,Intoxicated persons helped home,13,31,Public Service
July,1854,Lost children returned,10,31,Public Service
July,1854,Disturbances Suppressed,104,31,Public Service
July,1854,Water Pipes burst secured,4,31,Public Service
July,1854,Assaults and Battery,40,31,Offences
July,1854,Assaults on Officers,4,31,Offences
July,1854,Adultery,1,31,Offences
July,1854,Breaking and Entering,4,31,Offences
July,1854,Common Drunkenness (drunkards),55,31,Offences
July,1854,Common Night Walkers,42,31,Offences
July,1854,City Ordinance Violations,10,31,Offences
July,1854,Drunkenness (Simple),381,31,Offences
July,1854,Disturbing the Peace,10,31,Offences
July,1854,Witnesses detained,11,31,Offences
July,1854,Escaped Convicts,2,31,Offences
July,1854,Idle & dissolute persons,6,31,Offences
July,1854,Larceny (simple),46,31,Offences
July,1854,Larceny from persons etc,6,31,Offences
July,1854,Malicious mischief,2,31,Offences
July,1854,Noisy and disorderly persons,16,31,Offences
July,1854,On warrants,5,31,Offences
July,1854,Pickpockets,2,31,Offences
July,1854,Provided with Lodgings,158,31,Offences
July,1854,Receiving stolen goods,1,31,Offences
July,1854,Persons Rescued from Drowning,2,31,Public Service
July,1854,Counterfeit money passing,3,31,Offences
July,1854,Stubborn & Truant Children,4,31,Offences
July,1854,Safe keeping for Bondsmen,1,31,Offences
July,1854,Vagabonds,21,31,Offences
July,1854,Sunday Law Violations,4,31,Offences
July,1854,Female in male attire,1,31,Offences
July,1854,Amt property restored to prisoners (in $),2134.95,31,Station and Court-related
July,1854,Amt property stolen on station (in $),5188.96,31,Station and Court-related
July,1854,Stolen Property Recovered (in $),5005.7,31,Station and Court-related
July,1854,No. of larcenies on station,35,31,Offences
July,1854,No. of arrests for larcenies on station,27,31,Offences
July,1854,Days time spent in court,175,31,Station and Court-related
July,1854,Amt Witness fees has earned in court (in $),276.88,31,Station and Court-related
July,1854,Amt fines imposed on Prisoners (in $),535,31,Station and Court-related
July,1854,Years imprisonment imposed on convicts,99.75,31,Station and Court-related
July,1854,Cases reported for grand jury,13,31,Station and Court-related
August,1854,Arrests (Males),504,32,Demographics
August,1854,Arrests (Females),230,32,Demographics
August,1854,Arrests (Americans),106,32,Demographics
August,1854,Arrests (Foreigners),628,32,Demographics
August,1854,Arrests (Residents),374,32,Demographics
August,1854,Arrests (Minor),115,32,Demographics
August,1854,Arrests (Commitments),366,32,Demographics
August,1854,Street Obstructions Removed,4,32,Public Service
August,1854,Streets repair requested ,3,32,Public Service
August,1854,Sidewalks repaired,14,32,Public Service
August,1854,"Drains,vaults,nuisances reported",30,32,Public Service
August,1854,Cholera Cases attended to,20,32,Public Service
August,1854,Fires extinguished by officers without alarms,2,32,Public Service
August,1854,Lost children returned,5,32,Public Service
August,1854,Intoxicated persons helped home,17,32,Public Service
August,1854,Stores found open and secured ,8,32,Public Service
August,1854,Stray Teams Put up,4,32,Public Service
August,1854,Disturbances Suppressed,64,32,Public Service
August,1854,Assaults and Battery,28,32,Offences
August,1854,Attempt to kill,1,32,Offences
August,1854,Assaults on Officers,1,32,Offences
August,1854,Adultery,1,32,Offences
August,1854,Breaking and Entering,4,32,Offences
August,1854,Common Drunkenness (drunkards),39,32,Offences
August,1854,Common Night Walkers,4,32,Offences
August,1854,Drunkenness (Simple),350,32,Offences
August,1854,Disturbing the Peace,8,32,Offences
August,1854,Escaped Convicts,1,32,Offences
August,1854,Fornication,2,32,Offences
August,1854,Highway robbery,5,32,Offences
August,1854,Idle & dissolute persons,3,32,Offences
August,1854,Insane,2,32,Offences
August,1854,Keeping Houses of Ill Fame,9,32,Offences
August,1854,Larceny (simple),31,32,Offences
August,1854,Larceny from persons etc,4,32,Offences
August,1854,Noisy and disorderly persons,15,32,Offences
August,1854,Common Sellers,15,32,Offences
August,1854,Pickpockets,2,32,Offences
August,1854,Provided with Lodgings,169,32,Offences
August,1854,Rescuing prisoners,2,32,Offences
August,1854,Rape,1,32,Offences
August,1854,Sunday Law Violations,3,32,Offences
August,1854,Vagrancy,19,32,Offences
August,1854,Witnesses detained,8,32,Offences
August,1854,Amt property restored to prisoners (in $),3122.72,32,Station and Court-related
August,1854,Amt property stolen on station (in $),159.9,32,Station and Court-related
August,1854,Stolen Property Recovered (in $),307.87,32,Station and Court-related
August,1854,No. of larcenies on station,24,32,Offences
August,1854,No. of arrests for larcenies on station,20,32,Offences
August,1854,Days time spent in court,211,32,Station and Court-related
August,1854,Amt Witness fees has earned in court (in $),322.28,32,Station and Court-related
August,1854,Amt fines imposed on Prisoners (in $),779,32,Station and Court-related
August,1854,Years imprisonment imposed on convicts,27.66,32,Station and Court-related
August,1854,Cases reported for grand jury,23,32,Station and Court-related
September,1854,Arrests (Males),598,33,Demographics
September,1854,Arrests (Females),195,33,Demographics
September,1854,Arrests (Americans),139,33,Demographics
September,1854,Arrests (Foreigners),654,33,Demographics
September,1854,Arrests (Residents),404,33,Demographics
September,1854,Arrests (Non-residents),389,33,Demographics
September,1854,Arrests (Minor),137,33,Demographics
September,1854,Arrests (Commitments),347,33,Demographics
September,1854,Street Obstructions Removed,18,33,Public Service
September,1854,Streets repair requested ,3,33,Public Service
September,1854,Sidewalks repaired,24,33,Public Service
September,1854,"Drains,vaults,nuisances reported",30,33,Public Service
September,1854,Cholera Cases attended to,3,33,Public Service
September,1854,Dangerous buildings reported/secured,1,33,Public Service
September,1854,Water Wasting Reported,13,33,Public Service
September,1854,Stores found open and secured ,11,33,Public Service
September,1854,Injured persons provided for,4,33,Public Service
September,1854,Lost children returned,4,33,Public Service
September,1854,Persons Rescued from Drowning,2,33,Public Service
September,1854,Intoxicated persons helped home,19,33,Public Service
September,1854,Fires extinguished by officers without alarms,6,33,Public Service
September,1854,Disturbances Suppressed,99,33,Public Service
September,1854,Adultery,1,33,Offences
September,1854,Assaults and Battery,31,33,Offences
September,1854,Assaults on Officers,1,33,Offences
September,1854,Assault with deadly weapons,1,33,Offences
September,1854,Breaking and Entering,3,33,Offences
September,1854,Common Drunkenness (drunkards),36,33,Offences
September,1854,Common Night Walkers,28,33,Offences
September,1854,Drunkenness (Simple),309,33,Offences
September,1854,Disturbing the Peace,25,33,Offences
September,1854,Fornication,1,33,Offences
September,1854,Gaming on Sunday,6,33,Offences
September,1854,Highway robbery,4,33,Offences
September,1854,Insane,2,33,Offences
September,1854,Idle & dissolute persons,2,33,Offences
September,1854,Keeping Houses of Ill Fame,3,33,Offences
September,1854,Larceny (simple),35,33,Offences
September,1854,Larceny from persons etc,4,33,Offences
September,1854,Malicious mischief,2,33,Offences
September,1854,Provided with Lodgings,275,33,Offences
September,1854,Pickpockets,2,33,Offences
September,1854,Perjury,1,33,Offences
September,1854,Stubborn & Truant Children,7,33,Offences
September,1854,Sunday Law Violations,6,33,Offences
September,1854,Vagrancy,4,33,Offences
September,1854,Witnesses detained,4,33,Offences
September,1854,Amt property restored to prisoners (in $),1406.82,33,Station and Court-related
September,1854,Amt property stolen on station (in $),1059.38,33,Station and Court-related
September,1854,Stolen Property Recovered (in $),716.7,33,Station and Court-related
September,1854,No. of larcenies on station,23,33,Offences
September,1854,No. of arrests for larcenies on station,21,33,Offences
September,1854,Days time spent in court,198.5,33,Station and Court-related
September,1854,Amt Witness fees has earned in court (in $),305.74,33,Station and Court-related
September,1854,Amt fines imposed on Prisoners (in $),1036,33,Station and Court-related
September,1854,Years imprisonment imposed on convicts,69.5,33,Station and Court-related
September,1854,Cases reported for grand jury,25,33,Station and Court-related
October,1854,Arrests (Males),667,34,Demographics
October,1854,Arrests (Females),188,34,Demographics
October,1854,Arrests (Americans),132,34,Demographics
October,1854,Arrests (Foreigners),723,34,Demographics
October,1854,Arrests (Residents),445,34,Demographics
October,1854,Arrests (Non-residents),410,34,Demographics
October,1854,Arrests (Minor),153,34,Demographics
October,1854,Arrests (Commitments),371,34,Demographics
October,1854,Street Obstructions Removed,14,34,Public Service
October,1854,Streets repair requested ,11,34,Public Service
October,1854,Sidewalks repaired,40,34,Public Service
October,1854,"Drains,vaults,nuisances reported",13,34,Public Service
October,1854,Water Wasting Reported,4,34,Public Service
October,1854,Defective Street Lamps Repaired/Reported,58,34,Public Service
October,1854,Stores found open and secured ,14,34,Public Service
October,1854,Stray Teams Put up,4,34,Public Service
October,1854,Intoxicated persons helped home,25,34,Public Service
October,1854,Lost children returned,4,34,Public Service
October,1854,Injured persons provided for,6,34,Public Service
October,1854,Disturbances Suppressed,146,34,Public Service
October,1854,Assaults and Battery,21,34,Offences
October,1854,Assaults on Officers,3,34,Offences
October,1854,Breaking and Entering,3,34,Offences
October,1854,Common Drunkenness (drunkards),30,34,Offences
October,1854,Common Sellers,5,34,Offences
October,1854,Counterfeit money passing,1,34,Offences
October,1854,Cruelty to Animals,1,34,Offences
October,1854,Common Beggars,2,34,Offences
October,1854,Common Night Walkers,19,34,Offences
October,1854,City Ordinance Violations,11,34,Offences
October,1854,Drunkenness (Simple),359,34,Offences
October,1854,Disturbing the Peace,8,34,Offences
October,1854,Escaped Convicts,1,34,Offences
October,1854,Highway robbery,1,34,Offences
October,1854,Insane,4,34,Offences
October,1854,Idle & dissolute persons,3,34,Offences
October,1854,Keeping Houses of Ill Fame,3,34,Offences
October,1854,Keeping Noisy & Disorderly Houses,2,34,Offences
October,1854,Larceny (simple),27,34,Offences
October,1854,Larceny from persons etc,13,34,Offences
October,1854,Lewdness,1,34,Offences
October,1854,Noisy and disorderly persons,18,34,Offences
October,1854,Provided with Lodgings,289,34,Offences
October,1854,Rescuing prisoners,3,34,Offences
October,1854,Stubborn & Truant Children,1,34,Offences
October,1854,Stealing a Ride,1,34,Offences
October,1854,Sunday Law Violations,6,34,Offences
October,1854,Vagrancy,14,34,Offences
October,1854,Female in male attire,1,34,Offences
October,1854,Witnesses detained,4,34,Offences
October,1854,Amt property restored to prisoners (in $),1301.92,34,Station and Court-related
October,1854,Amt property stolen on station (in $),304.25,34,Station and Court-related
October,1854,Stolen Property Recovered (in $),500.32,34,Station and Court-related
October,1854,No. of larcenies on station,29,34,Offences
October,1854,No. of arrests for larcenies on station,24,34,Offences
October,1854,Days time spent in court,244,34,Station and Court-related
October,1854,Amt Witness fees has earned in court (in $),392.06,34,Station and Court-related
October,1854,Amt fines imposed on Prisoners (in $),1557,34,Station and Court-related
October,1854,Years imprisonment imposed on convicts,44.66,34,Station and Court-related
October,1854,Cases reported for grand jury,16,34,Station and Court-related
November,1854,Arrests (Males),655,35,Demographics
November,1854,Arrests (Females),180,35,Demographics
November,1854,Arrests (Americans),141,35,Demographics
November,1854,Arrests (Foreigners),694,35,Demographics
November,1854,Arrests (Residents),451,35,Demographics
November,1854,Arrests (Non-residents),384,35,Demographics
November,1854,Arrests (Minor),149,35,Demographics
November,1854,Arrests (Commitments),260,35,Demographics
November,1854,Street Obstructions Removed,10,35,Public Service
November,1854,Streets repair requested ,2,35,Public Service
November,1854,Sidewalks repaired,20,35,Public Service
November,1854,"Drains,vaults,nuisances reported",10,35,Public Service
November,1854,Water Wasting Reported,7,35,Public Service
November,1854,Defective Street Lamps Repaired/Reported,50,35,Public Service
November,1854,Stores found open and secured ,13,35,Public Service
November,1854,Stray Teams Put up,2,35,Public Service
November,1854,Intoxicated persons helped home,26,35,Public Service
November,1854,Lost children returned,3,35,Public Service
November,1854,Injured persons provided for,5,35,Public Service
November,1854,Disturbances Suppressed,126,35,Public Service
November,1854,Assaults and Battery,26,35,Offences
November,1854,Assaults on Officers,2,35,Offences
November,1854,Attempt to rescue prisoners,1,35,Offences
November,1854,Common Drunkenness (drunkards),35,35,Offences
November,1854,Common Sellers,17,35,Offences
November,1854,City Ordinance Violations,7,35,Offences
November,1854,Common Night Walkers,19,35,Offences
November,1854,Drunkenness (Simple),303,35,Offences
November,1854,Disturbing the Peace,19,35,Offences
November,1854,Extortion,1,35,Offences
November,1854,Embezzlement,1,35,Offences
November,1854,Forgery ,1,35,Offences
November,1854,Insane,3,35,Offences
November,1854,Keeping Houses of Ill Fame,6,35,Offences
November,1854,Keeping Noisy & Disorderly Houses,5,35,Offences
November,1854,Larceny (simple),28,35,Offences
November,1854,Larceny from persons etc,5,35,Offences
November,1854,Noisy and disorderly persons,7,35,Offences
November,1854,Provided with Lodgings,317,35,Offences
November,1854,Sunday Law Violations,5,35,Offences
November,1854,Stubborn & Truant Children,3,35,Offences
November,1854,Vagabonds,19,35,Offences
November,1854,Witnesses detained,5,35,Offences
November,1854,Amt property restored to prisoners (in $),1636.88,35,Station and Court-related
November,1854,Amt property stolen on station (in $),646,35,Station and Court-related
November,1854,Stolen Property Recovered (in $),357,35,Station and Court-related
November,1854,No. of larcenies on station,24,35,Offences
November,1854,No. of arrests for larcenies on station,21,35,Offences
November,1854,Days time spent in court,248.5,35,Station and Court-related
November,1854,Amt Witness fees has earned in court (in $),423.24,35,Station and Court-related
November,1854,Amt fines imposed on Prisoners (in $),1988,35,Station and Court-related
November,1854,Years imprisonment imposed on convicts,37.83,35,Station and Court-related
November,1854,Cases reported for grand jury,7,35,Station and Court-related
December,1854,Arrests (Males),341,36,Demographics
December,1854,Arrests (Females),79,36,Demographics
December,1854,Arrests (Residents),260,36,Demographics
December,1854,Arrests (Non-residents),160,36,Demographics
December,1854,Arrests (Americans),42,36,Demographics
December,1854,Arrests (Foreigners),378,36,Demographics
December,1854,Arrests (Minor),58,36,Demographics
December,1854,Arrests (Commitments),171,36,Demographics
December,1854,Street Obstructions Removed,19,36,Public Service
December,1854,Streets repair requested ,1,36,Public Service
December,1854,Sidewalks repaired,5,36,Public Service
December,1854,Water Wasting Reported,5,36,Public Service
December,1854,Defective Street Lamps Repaired/Reported,48,36,Public Service
December,1854,Stores found open and secured ,18,36,Public Service
December,1854,Intoxicated persons helped home,13,36,Public Service
December,1854,Stray Teams Put up,6,36,Public Service
December,1854,Injured persons provided for,3,36,Public Service
December,1854,Fires extinguished by officers without alarms,1,36,Public Service
December,1854,Open cellar entrances reported,65,36,Public Service
December,1854,Disturbances Suppressed,47,36,Public Service
December,1854,Amt fines imposed on Prisoners (in $),477,36,Station and Court-related
December,1854,Years imprisonment imposed on convicts,"53,11/12",36,Station and Court-related
December,1854,Assaults and Battery,26,36,Offences
December,1854,Assaults on Officers,3,36,Offences
December,1854,Breaking and Entering,1,36,Offences
December,1854,Common Drunkenness (drunkards),21,36,Offences
December,1854,Common Sellers,2,36,Offences
December,1854,Common Night Walkers,4,36,Offences
December,1854,City Ordinance Violations,1,36,Offences
December,1854,Breaking and Entering,6,36,Offences
December,1854,Drunkenness (Simple),258,36,Offences
December,1854,Disturbing the Peace,9,36,Offences
December,1854,Escaped Convicts,1,36,Offences
December,1854,Highway robbery,2,36,Offences
December,1854,Keeping Houses of Ill Fame,3,36,Offences
December,1854,Larceny (simple),24,36,Offences
December,1854,Larceny from persons etc,8,36,Offences
December,1854,Noisy and disorderly persons,9,36,Offences
December,1854,Stealing a Ride,3,36,Offences
December,1854,Stubborn & Truant Children,7,36,Offences
December,1854,Sunday Law Violations,1,36,Offences
December,1854,Vagabonds,24,36,Offences
December,1854,Witnesses detained,2,36,Offences
December,1854,Amt property restored to prisoners (in $),759.24,36,Station and Court-related
December,1854,Amt property stolen on station (in $),403.25,36,Station and Court-related
December,1854,Stolen Property Recovered (in $),649.29,36,Station and Court-related
December,1854,No. of larcenies on station,32,36,Offences
December,1854,No. of arrests for larcenies on station,26,36,Offences
December,1854,Days time spent in court,185,36,Station and Court-related
December,1854,Amt Witness fees has earned in court (in $),323.06,36,Station and Court-related
December,1854,Cases reported for grand jury,12,36,Station and Court-related
January,1855,Lodging (Males),278,42,Demographics
January,1855,Lodging (Females),74,42,Demographics
January,1855,Lodging (Non-residents),227,42,Demographics
January,1855,Lodging (Americans),54,42,Demographics
January,1855,Lodging (Foreigners),298,42,Demographics
January,1855,Lodging (Minor),75,42,Demographics
January,1855,Arrests (Males),397,42,Demographics
January,1855,Arrests (Females),116,42,Demographics
January,1855,Arrests (Americans),73,42,Demographics
January,1855,Arrests (Foreigners),440,42,Demographics
January,1855,Arrests (Residents),363,42,Demographics
January,1855,Arrests (Non-residents),150,42,Demographics
January,1855,Arrests (Minor),76,42,Demographics
January,1855,Arrests (Commitments),258,42,Demographics
January,1855,Street Obstructions Removed,3,42,Public Service
January,1855,Streets repair requested ,1,42,Public Service
January,1855,Sidewalks repaired,4,42,Public Service
January,1855,Open cellar entrances reported,65,42,Public Service
January,1855,"Drains,vaults,nuisances reported",5,42,Public Service
January,1855,Defective Street Lamps Repaired/Reported,5,42,Public Service
January,1855,Water Pipes burst secured,5,42,Public Service
January,1855,Coalhole covers unsafe reported,357,42,Public Service
January,1855,Stores found open and secured ,7,42,Public Service
January,1855,Intoxicated persons helped home,28,42,Public Service
January,1855,Stray Teams Put up,5,42,Public Service
January,1855,Lost children returned,1,42,Public Service
January,1855,Injured persons provided for,1,42,Public Service
January,1855,Cases investigated for overseers of poor,498,42,Public Service
January,1855,Disturbances Suppressed,8,42,Public Service
January,1855,Assaults and Battery,33,42,Offences
January,1855,Attempt to rescue prisoners,2,42,Offences
January,1855,Assaults on Officers,1,42,Offences
January,1855,Breaking and Entering,5,42,Offences
January,1855,Bigamy,1,42,Offences
January,1855,Common Drunkenness (drunkards),48,42,Offences
January,1855,Common Night Walkers,15,42,Offences
January,1855,City Ordinance Violations,7,42,Offences
January,1855,Drunkenness (Simple),298,42,Offences
January,1855,Disturbing the Peace,4,42,Offences
January,1855,Fornication,1,42,Offences
January,1855,Insane,1,42,Offences
January,1855,Keeping Noisy & Disorderly Houses,2,42,Offences
January,1855,Larceny (simple),32,42,Offences
January,1855,Larceny from persons etc,8,42,Offences
January,1855,Malicious mischief,2,42,Offences
January,1855,Noisy and disorderly persons,12,42,Offences
January,1855,Stubborn & Truant Children,2,42,Offences
January,1855,Sunday Law Violations,6,42,Offences
January,1855,Vagabonds,18,42,Offences
January,1855,Witnesses detained,2,42,Offences
January,1855,Adultery,1,42,Offences
January,1855,Common Sellers,12,42,Offences
January,1855,Amt property restored to prisoners (in $),113.18,42,Station and Court-related
January,1855,Amt property stolen on station (in $),275.14,42,Station and Court-related
January,1855,Stolen Property Recovered (in $),118.87,42,Station and Court-related
January,1855,No. of larcenies on station,28,42,Offences
January,1855,No. of arrests for larcenies on station,24,42,Offences
January,1855,Days time spent in court,155,42,Station and Court-related
January,1855,Amt Witness fees has earned in court (in $),233.94,42,Station and Court-related
January,1855,Amt fines imposed on Prisoners (in $),1331.6,42,Station and Court-related
January,1855,Years imprisonment imposed on convicts,"49,3/12",42,Station and Court-related
January,1855,Cases reported for grand jury,13,42,Station and Court-related
February,1855,Lodging (Males),248,43,Demographics
February,1855,Lodging (Females),48,43,Demographics
February,1855,Lodging (Residents),101,43,Demographics
February,1855,Lodging (Non-residents),195,43,Demographics
February,1855,Lodging (Americans),40,43,Demographics
February,1855,Lodging (Foreigners),256,43,Demographics
February,1855,Lodging (Minor),64,43,Demographics
February,1855,Arrests (Males),283,43,Demographics
February,1855,Arrests (Females),82,43,Demographics
February,1855,Arrests (Americans),69,43,Demographics
February,1855,Arrests (Foreigners),296,43,Demographics
February,1855,Arrests (Residents),249,43,Demographics
February,1855,Arrests (Non-residents),116,43,Demographics
February,1855,Arrests (Minor),62,43,Demographics
February,1855,Arrests (Commitments),161,43,Demographics
February,1855,Street Obstructions Removed,8,43,Public Service
February,1855,Sidewalks repaired,3,43,Public Service
February,1855,Open cellar entrances reported,15,43,Public Service
February,1855,Water Pipes burst secured,10,43,Public Service
February,1855,Defective Street Lamps Repaired/Reported,284,43,Public Service
February,1855,"Drains,vaults,nuisances reported",4,43,Public Service
February,1855,Dangerous buildings reported/secured,1,43,Public Service
February,1855,"Shades, Flags & Signs Reported",188,43,Public Service
February,1855,Fires extinguished by officers without alarms,1,43,Public Service
February,1855,Stray Teams Put up,5,43,Public Service
February,1855,Intoxicated persons helped home,41,43,Public Service
February,1855,Injured persons provided for,4,43,Public Service
February,1855,Lost children returned,3,43,Public Service
February,1855,Stores found open and secured ,17,43,Public Service
February,1855,Disturbances Suppressed,95,43,Public Service
February,1855,Soup tickets distributed,373,43,Public Service
February,1855,Assaults and Battery,21,43,Offences
February,1855,Breaking and Entering,6,43,Offences
February,1855,Common Sellers,9,43,Offences
February,1855,Common Drunkenness (drunkards),29,43,Offences
February,1855,Common Night Walkers,14,43,Offences
February,1855,City Ordinance Violations,6,43,Offences
February,1855,Counterfeit money passing,2,43,Offences
February,1855,Drunkenness (Simple),200,43,Offences
February,1855,Highway robbery,3,43,Offences
February,1855,Larceny (simple),34,43,Offences
February,1855,Larceny from persons etc,7,43,Offences
February,1855,Malicious mischief,3,43,Offences
February,1855,Noisy and disorderly persons,13,43,Offences
February,1855,Rape,1,43,Offences
February,1855,Sunday Law Violations,2,43,Offences
February,1855,Stubborn & Truant Children,1,43,Offences
February,1855,Persons Rescued from Drowning,1,43,Public Service
February,1855,Vagabonds,11,43,Offences
February,1855,Witnesses detained,2,43,Offences
February,1855,Amt property restored to prisoners (in $),707.44,43,Station and Court-related
February,1855,Amt property stolen on station (in $),672.4,43,Station and Court-related
February,1855,Stolen Property Recovered (in $),554.19,43,Station and Court-related
February,1855,No. of larcenies on station,23,43,Offences
February,1855,No. of arrests for larcenies on station,24,43,Offences
February,1855,Days time spent in court,160.5,43,Station and Court-related
February,1855,Amt Witness fees has earned in court (in $),237.6,43,Station and Court-related
February,1855,Amt fines imposed on Prisoners (in $),704,43,Station and Court-related
February,1855,Years imprisonment imposed on convicts,"37,2/12",43,Station and Court-related
February,1855,Cases reported for grand jury,24,43,Station and Court-related
March,1855,Lodging (Males),260,44,Demographics
March,1855,Lodging (Females),60,44,Demographics
March,1855,Lodging (Residents),109,44,Demographics
March,1855,Lodging (Non-residents),211,44,Demographics
March,1855,Lodging (Americans),55,44,Demographics
March,1855,Lodging (Foreigners),265,44,Demographics
March,1855,Lodging (Minor),55,44,Demographics
March,1855,Arrests (Males),352,44,Demographics
March,1855,Arrests (Females),131,44,Demographics
March,1855,Arrests (Americans),72,44,Demographics
March,1855,Arrests (Foreigners),411,44,Demographics
March,1855,Arrests (Residents),352,44,Demographics
March,1855,Arrests (Non-residents),131,44,Demographics
March,1855,Arrests (Minor),90,44,Demographics
March,1855,Arrests (Commitments),232,44,Demographics
March,1855,Street Obstructions Removed,8,44,Public Service
March,1855,Streets repair requested ,9,44,Public Service
March,1855,Sidewalks repaired,8,44,Public Service
March,1855,Defective Street Lamps Repaired/Reported,80,44,Public Service
March,1855,Dangerous buildings reported/secured,3,44,Public Service
March,1855,"Drains,vaults,nuisances reported",10,44,Public Service
March,1855,Water Pipes burst secured,5,44,Public Service
March,1855,Stores found open and secured ,29,44,Public Service
March,1855,Stray Teams Put up,3,44,Public Service
March,1855,Injured persons provided for,5,44,Public Service
March,1855,Intoxicated persons helped home,51,44,Public Service
March,1855,Lost children returned,5,44,Public Service
March,1855,Soup tickets distributed,172,44,Public Service
March,1855,Disturbances Suppressed,131,44,Public Service
March,1855,Assaults and Battery,19,44,Offences
March,1855,Assaults on Officers,4,44,Offences
March,1855,Attempt to kill,1,44,Offences
March,1855,Adultery,1,44,Offences
March,1855,Breaking and Entering,3,44,Offences
March,1855,Common Drunkenness (drunkards),36,44,Offences
March,1855,Common Night Walkers,18,44,Offences
March,1855,Common Sellers,7,44,Offences
March,1855,City Ordinance Violations,5,44,Offences
March,1855,Disturbing assemblies,3,44,Offences
March,1855,Drunkenness (Simple),282,44,Offences
March,1855,Fornication,5,44,Offences
March,1855,Insane,1,44,Offences
March,1855,Keeping Houses of Ill Fame,5,44,Offences
March,1855,Keeping Noisy & Disorderly Houses,1,44,Offences
March,1855,Larceny (simple),29,44,Offences
March,1855,Larceny from persons etc,16,44,Offences
March,1855,Malicious mischief,1,44,Offences
March,1855,Noisy and disorderly persons,19,44,Offences
March,1855,Stubborn & Truant Children,8,44,Offences
March,1855,Stealing a Ride,2,44,Offences
March,1855,Vagabonds,13,44,Offences
March,1855,Witnesses detained,4,44,Offences
March,1855,Amt property restored to prisoners (in $),1674.15,44,Station and Court-related
March,1855,Amt property stolen on station (in $),469,44,Station and Court-related
March,1855,Stolen Property Recovered (in $),448,44,Station and Court-related
March,1855,No. of larcenies on station,28,44,Offences
March,1855,No. of arrests for larcenies on station,28,44,Offences
